Item;qty
SparkFun RedBoard ;1
Piezo Vibration Sensor - Small Vertical;1
Transistor - NPN (2N3904);3
SparkFun Solder-able Breadboard;1
One-Wire Ambient Temperature Sensor - MAX31820 ;2
Mean Well Switching Power Supply - 12VDC, 12.5A;1
Adam Tech Wall Adapter Cable (NA);1
P-Channel MOSFET 60V 27A;3
Zener Diode - 5.1V 1W;1
Heating Pad - 5x15cm;5
Break Away Male Headers - Right Angle;1
Screw Terminals 2.54mm Pitch (2-Pin);9
DC Barrel Jack Plug - Male (Solder Type);1
DC Barrel Jack Plug - Female (Solder Type);1
DC Barrel Jack Adapter - Male (Screw Type);1
DC Barrel Jack Adapter - Female;1
Resistor - 10k ohm;3
Resistor - 4.7k ohm;2
Resistor - 1k ohm;3
